"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/notifications/replyTile.dart", "Dart", 88, 0, 6, 94
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/orignal.dart", "Dart", 113, 1, 14, 128
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/post.dart", "Dart", 140, 1, 16, 157
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/postHeader.dart", "Dart", 49, 19, 6, 74
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/postReplies.dart", "Dart", 128, 0, 14, 142
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/postSwitcher.dart", "Dart", 95, 0, 13, 108
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/postToolbar.dart", "Dart", 143, 0, 14, 157
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBox.dart", "Dart", 152, 0, 10, 162
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/crewPreview.dart", "Dart", 111, 0, 9, 120
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/followersPreview.dart", "Dart", 98, 0, 9, 107
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/itemPreview.dart", "Dart", 100, 0, 7, 107
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/spacePreviewBox.dart", "Dart", 90, 0, 11, 101
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/tokenPreview.dart", "Dart", 47, 0, 7, 54
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/userPicture.dart", "Dart", 47, 0, 7, 54
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/previewBoxes/userPreviewBox.dart", "Dart", 75, 0, 8, 83
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/profile.dart", "Dart", 18, 0, 0, 18
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/reply.dart", "Dart", 105, 1, 14, 120
"/Users/abhinavvashisht/Documents/dev/adiHouse/lib/widgets/selectableItem.dart", "Dart", 79, 0, 11, 90
"Total", "-", 8482, 484, 697, 9663
